tx, ty, tz 
2.7871177735505626e-05, 0.0003301791730336845, 0.000437200564192608
2.8153323000879027e-05, 0.00027280038921162486, 0.0003257255884818733
1.63902914209757e-05, 0.00027149502420797944, 0.0002572811208665371
7.638925580977229e-07, 0.00023304384376388043, 0.00021318408835213631
5.777291335107293e-06, 0.0002087349130306393, 0.00018802867271006107
9.733564183989074e-06, 0.00018173815624322742, 0.00014371094584930688
6.597421815968119e-06, 0.00013168044097255915, 9.486799535807222e-05
-3.7011968743172474e-06, 0.00011755954619729891, 6.357162783388048e-05
2.740449190241634e-06, 0.00011009157606167719, 4.1470699216006324e-05
5.759191026299959e-06, 0.0001242078433278948, 5.5585187510587275e-05
1.3374682566791307e-05, 7.15635615051724e-05, 3.4874949051300064e-05
6.953718639124418e-06, 4.7123266995185986e-05, 2.3573813450639136e-05
4.0488339436706156e-06, 4.1201077692676336e-05, 4.7066550905583426e-05
6.58882481729961e-06, 2.3132037313189358e-05, 4.3025578634114936e-05
7.090694907674333e-06, 4.5279492042027414e-05, 3.353691863594577e-05
1.4916954569343943e-05, 2.749693339865189e-05, 2.9386641472228803e-05
1.6601357856416143e-05, -9.061897799256258e-06, 2.58085856330581e-05
1.8860295313061215e-05, -2.525439231249038e-05, 1.7498643501312472e-05
1.6714637240511365e-05, -7.15407850293559e-06, 2.0340208720881492e-05
1.805331885407213e-05, 6.653780019405531e-06, 1.9109991626464762e-05
9.375026820634957e-06, 4.2000890971394256e-05, 2.1343581465771422e-05
3.7103336580912583e-06, 4.747472848976031e-05, 5.142889676790219e-06
1.704197347862646e-05, 3.0322447855724022e-05, 1.5142087249842007e-05
2.445902646286413e-05, 3.318562085041776e-05, -6.7304467847861815e-06
4.561449895845726e-05, 9.217408660333604e-06, -9.532009244139772e-06
5.768152550444938e-05, -4.197688031126745e-05, -2.4450924684060737e-05
5.8546731452224776e-05, -4.221652852720581e-05, 1.7460093658883125e-05
6.752135959686711e-05, 8.266140866908245e-06, 1.360831993224565e-05
6.123068305896595e-05, 2.2584870293940185e-06, 1.4559112969436683e-05
6.31168732070364e-05, 4.177117261860985e-06, 2.763836528174579e-05
6.0721100453520194e-05, -1.691637862677453e-06, 4.398425153340213e-05
8.092208736343309e-05, 2.3130867703002878e-05, 3.080283568124287e-05
7.351585372816771e-05, 2.879599378502462e-06, 3.7130736018298194e-05
6.64442777633667e-05, 2.9044185794191435e-05, 2.5637407816248015e-05
6.302687688730657e-05, 2.3474127374356613e-05, 3.113446291536093e-05
6.242994277272373e-05, 4.8118687118403614e-05, 2.7917012630496174e-05
6.250041769817472e-05, 5.470747782965191e-05, 2.662166480149608e-05
6.055903577362187e-05, 4.1486448026262224e-05, 3.362391726113856e-05
6.151070556370541e-05, 8.991328650154173e-05, 2.5123516024905257e-05
5.275019066175446e-05, 8.349469135282561e-05, 1.1394780813134275e-05
4.7312056267401204e-05, 9.141828923020512e-05, 6.500225936179049e-06
3.857215415337123e-05, 7.54778302507475e-05, -1.2917801086587133e-06
3.549023676896468e-05, 8.206953498302028e-05, 1.1710440958268009e-05
2.9930259188404307e-05, 0.00012627174146473408, 2.277427847729996e-05
1.234277897310676e-05, 0.00013089439016766846, 2.351100010855589e-05
1.3792620848107617e-05, 8.792060543783009e-05, 1.972685095097404e-05
1.2911656085634604e-05, 3.6268575058784336e-05, 2.6341072953073308e-05
-2.6156415060540894e-06, 4.179676034254953e-05, 1.4084299436945003e-05
-1.4197200925991638e-06, 1.1432196515670512e-05, 1.0873044629988726e-05
7.972623279783875e-06, 3.7108868127688766e-05, 1.001148484647274e-05
5.4850129345140886e-06, 8.019186498131603e-05, 2.747407506831223e-06
6.571923222509213e-06, 6.844810559414327e-05, -1.578375668032095e-05
1.2280185728741344e-05, 3.151295823045075e-05, -1.1340644960000645e-05
